MEDIDOR,lectura_id_orig,voltajeA,voltajeB,voltajeC,corrienteA,corrienteB,corrienteC,angvoltajeA,angvoltajeB,angvoltajeC,angcorrienteA,angcorrienteB,angcorrienteC,powerfactorsystem,totalkwh,totalkvarh,Maxkw,Maxkvar,frecuencia,Latitud,Longitud,kwh_consumido,kvarh_consumido,clasificacion_encoded,modelo_encoded,tipo_consumo_encoded,kwh_hora,dayMonth,dayNumber,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Domingo,ClustersConsumoDias,CLASIFICACION
16951199,1293019.5585106383,672.9040000000003,673.6711569148935,678.8117765957447,0.09939547872340426,0.07978324468085111,0.10914175531914888,0.0,120.0,240.0,252.87796648936165,94.3795263297874,152.40419042553188,0.10873430851063831,160.84559800531912,29.84747273936167,0.00953537234042548,0.00953537234042548,59.99864867021275,-1.8724000000000016,-79.42180000000006,0.004982114361701768,5.984042553201164e-07,0.0,0.0,0.0,0.00232451518431908,18.335106382978722,3.0372340425531914,0.005762946428570765,0.00475000000000025,0.0058437499999991855,0.004451388888888893,0.0050960526315787106,0.005204999999999287,0.003830454545454193,1,SUBESTACION
16951201,1291747.1193181819,654.2573721590909,654.5146193181816,659.6035795454542,3.320494034090908,2.238673295454546,2.277038636363638,0.0,120.0,240.0,17.494935795454573,137.18209403409085,256.81343039772753,0.9550980113636357,7134.030731463072,2361.488733025569,0.7524426136363623,0.7524426136363623,59.994978693181814,-1.8038099999999988,-79.52160000000002,0.987391832386361,0.3066151278409111,0.0,0.0,0.0,0.4777188837479841,18.298295454545453,3.0369318181818183,0.9854117647058885,1.0219340425531862,0.9838239130434807,1.004331944444453,0.9411389423076764,1.0152735576923182,0.9610349999999744,1,SUBESTACION
16951203,1290507.0450704226,113.19126309859156,114.25745971830987,112.7744154929577,1.5866912676056337,1.5916445070422525,1.7482383098591556,0.0,120.0,240.0,131.64411436619724,12.094450985915499,255.86253239436635,0.021824788732394358,3780.8321264788765,1098.7216115492963,0.0472487323943662,0.0472487323943662,59.99430535211268,-1.8319200000000018,-79.55870000000043,0.027280774647884677,0.02064971830985945,0.0,0.0,0.0,0.013262597501689599,18.264788732394365,3.0309859154929577,0.04193365384617209,0.041834042553168825,0.03631875000000188,0.044767788461530685,0.02697877358490209,0.0005716981132056115,0.00013049999999566352,1,SUBESTACION
16951205,1288946.3522727273,113.25484857954542,114.2567613636363,112.82008607954543,1.4985670454545457,1.22430028409091,1.5389778409090906,0.0,120.0,240.0,253.8837897727273,114.0527761363635,133.11468892045446,-0.3196664772727274,5422.251049005677,1887.2857500000025,0.005897727272727274,0.005897727272727274,59.99920767045458,-1.83195999999999,-79.55870000000041,0.0,0.0,0.0,0.0,0.0,0.0,18.22159090909091,3.0198863636363638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,SUBESTACION
16951207,1289748.0835734871,650.4102853025936,655.8434985590781,657.2191066282426,1.0233720461095095,0.8478648414985589,0.9179279538904898,0.0,120.0,240.0,25.450735734870328,138.61323717579245,267.6883314121037,0.9094553314121037,2215.7371865273763,1058.0462320605184,0.21590576368876246,0.21590576368876246,59.9991925072046,-1.7909000000000008,-79.67420000000043,0.33276116714697634,0.15019884726224564,0.0,0.0,0.0,0.15973471252901583,18.244956772334294,3.0230547550432276,0.36606750000001737,0.35194468085105557,0.3460304347826047,0.32928888888889357,0.3272455882352808,0.30491400000000796,0.3059005102040921,1,SUBESTACION
16951208,1291002.7040229884,649.4978419540225,655.3525258620692,656.8020431034486,0.16855890804597698,0.10540948275862067,0.5174568965517243,0.0,120.0,240.0,41.31229942528728,144.93382672413773,275.21064224137945,0.8152931034482757,606.2127997844826,442.2842726293103,0.06871034482758609,0.06871034482758609,60.0026879310345,-1.7907000000000064,-79.67439999999989,0.08709978448275843,0.061675431034483766,0.0,0.0,0.0,0.04138230824022902,18.28448275862069,2.9971264367816093,0.08211367924527922,0.08554531250000015,0.08603457446808553,0.09233265306122994,0.08829899999999725,0.08743701923076995,0.08822295918367226,1,SUBESTACION
16951209,1291017.5212464589,649.8554617563732,655.5914305949008,656.5209093484427,1.1621215297450425,0.6622101983002832,1.2378869688385266,0.0,120.0,240.0,26.21943342776206,145.69135835694044,267.82266798866857,0.8923745042492918,2291.5043783286114,1255.796261260623,0.3171662889518427,0.3171662889518427,59.997139093484456,-1.7907699999999958,-79.67450000000018,0.3569764164306012,0.1797390934844183,0.0,0.0,0.0,0.17419401192882525,18.28045325779037,3.028328611898017,0.37274150943396717,0.3670760869565485,0.3497771739130653,0.36035377358489057,0.3523944444444388,0.36701100000000225,0.32948088235295525,1,SUBESTACION
16951216,1288854.0604534005,385.2527473551634,385.55642191435817,197.7976483627204,0.5318236775818643,0.6062675062972295,0.6196992443324941,0.0,180.0,644.7355163727959,170.16254937027708,191.40467380352655,176.36668438287174,0.7936365239294708,113785.04812594477,39357.61781863978,45.174287153652344,45.174287153652344,59.99885037783376,-1.5683200000000068,-79.47149999999971,31.595304785894267,9.824765743072994,3.0,0.0,0.0,15.73161496995382,18.2191435768262,3.0201511335012596,23.700827586207165,29.00909433962216,38.83822222222214,31.657118644067864,39.33508474576229,39.09101694915246,18.891490909092084,1,PILADORA
16951219,1290532.8115942029,658.3976782608702,654.0522637681156,654.1429014492754,1.864361449275361,1.8764753623188413,1.0557272463768126,0.0,240.0,120.0,19.51414057971021,257.4473599999998,135.6581101449274,0.9418518840579708,6244.538350869567,2776.9786460869564,0.5599513043478298,0.5599513043478298,59.99734521739127,-1.8037100000000126,-79.52140000000043,0.6076410869565286,0.20519913043477783,0.0,0.0,0.0,0.28815765867859733,18.263768115942028,3.0405797101449274,0.6049370192308043,0.6752337209302421,0.5806711956521885,0.6226168269230794,0.5749382352941229,0.6149408653846142,0.5869117346938598,1,SUBESTACION
16951220,1289559.6175637394,653.9888526912184,654.0900481586402,659.2560736543908,2.871181303116147,3.0168558073654417,2.5997906515580738,0.0,120.0,240.0,8.819826062322953,127.59432662889512,240.64929291784702,0.9904804532577898,7084.00352677054,710.6202218838527,0.793620679886684,0.793620679886684,59.99792379603399,-1.8036200000000127,-79.52149999999973,1.0729151558073657,0.11881890934844037,0.0,0.0,0.0,0.5213004497633936,18.240793201133144,3.0056657223796033,1.128532075471738,1.2085516304347512,1.1124937500000176,1.135064150943401,1.0393075471697815,0.9866725961538543,0.9038562499999898,1,SUBESTACION
16951221,1290020.825,658.3316527777783,654.2310722222222,654.0096777777782,2.2927977777777784,1.584707777777777,1.8537480555555559,0.0,120.0,240.0,23.334970277777803,142.05948805555545,263.79776222222233,0.9189208333333331,7332.853101041666,3271.0775849999995,0.5419549999999992,0.5419549999999992,59.99830000000005,-1.8036299999999985,-79.52140000000047,0.6849352083333391,0.29633770833332845,0.0,0.0,0.0,0.335258462700612,18.252777777777776,3.0083333333333333,0.6839888888889113,0.6927515624999879,0.6917546874999706,0.7267202830188975,0.6697611111111217,0.66825694444444,0.6615474489796113,1,SUBESTACION
16951222,1287278.0455840456,658.6032136752136,654.0935384615387,653.9130455840457,1.733611965811967,0.6441729344729348,1.038266381766381,0.0,240.0,120.0,20.424577207977233,257.42433133903154,131.86902165242168,0.9524245014245019,4256.8168666666725,1490.536938461538,0.3320299145299143,0.3320299145299143,59.99991253561247,-1.8036599999999996,-79.52160000000002,0.42898482905982027,0.13302393162393014,0.0,0.0,0.0,0.20561525392010327,18.17094017094017,3.037037037037037,0.4416819444444863,0.507986931818116,0.46559333333332487,0.4697773584905591,0.4088858490565985,0.37883382352939565,0.34372647058822337,1,SUBESTACION
