CLASIFICACION,MEDIDOR
ENTIDAD PUBLICA,20037205
ENTIDAD PUBLICA,35925134
ENTIDAD PUBLICA,35925262
ENTIDAD PUBLICA,35925500
ENTIDAD PUBLICA,35946931
ENTIDAD PUBLICA,35947263
ENTIDAD PUBLICA,35947439
ENTIDAD PUBLICA,52071440
ENTIDAD PUBLICA,52072444
ENTIDAD PUBLICA,52072451
ENTIDAD PUBLICA,52073196
ENTIDAD PUBLICA,52073199
ENTIDAD PUBLICA,52073215
ENTIDAD PUBLICA,52073216
ENTIDAD PUBLICA,52073219
ENTIDAD PUBLICA,52073247
ENTIDAD PUBLICA,52073265
ENTIDAD PUBLICA,52073367
ENTIDAD PUBLICA,52073379
ENTIDAD PUBLICA,52073380
ENTIDAD PUBLICA,52073382
ENTIDAD PUBLICA,53307828
ENTIDAD PUBLICA,53307837
ENTIDAD PUBLICA,53307852
ENTIDAD PUBLICA,53307856
ENTIDAD PUBLICA,53307861
ENTIDAD PUBLICA,53307872
ENTIDAD PUBLICA,53307873
ENTIDAD PUBLICA,53444723
ENTIDAD PUBLICA,53444730
ENTIDAD PUBLICA,58706629
ENTIDAD PUBLICA,58706642
ENTIDAD PUBLICA,58706655
ENTIDAD PUBLICA,58706680
ENTIDAD PUBLICA,58706717
ENTIDAD PUBLICA,58706732
ENTIDAD PUBLICA,58706735
ENVASADORA DE AGUA,35925259
ENVASADORA DE AGUA,35946575
ENVASADORA DE AGUA,35947260
ENVASADORA DE AGUA,35968887
ENVASADORA DE AGUA,52073331
ENVASADORA DE AGUA,59814804
ESTACION DE BOMBEO,8325470
ESTACION DE BOMBEO,11473860
ESTACION DE BOMBEO,11473861
ESTACION DE BOMBEO,11473874
ESTACION DE BOMBEO,11474018
ESTACION DE BOMBEO,11474030
ESTACION DE BOMBEO,15029843
ESTACION DE BOMBEO,15029844
ESTACION DE BOMBEO,15029846
ESTACION DE BOMBEO,15029977
ESTACION DE BOMBEO,16567746
ESTACION DE BOMBEO,16951218
ESTACION DE BOMBEO,35925249
ESTACION DE BOMBEO,35925506
ESTACION DE BOMBEO,52073234
ESTACION DE BOMBEO,52073283
ESTACION DE BOMBEO,58706656
EXTRACCION DE ACEITE,16567733
FABRICA DE FIDEOS,11474016
FARMACIA,15842884
FARMACIA,35946560
FARMACIA,58706662
FARMACIA,59814806
FUMIGACION AEREA,11473841
FUMIGACION AEREA,11474022
FUMIGACION AEREA,35947044
FUMIGACION AEREA,52073295
GANADERIA,52073373
GASOLINERA,13892518
